,Population
32048,B-cells
32051,T-cells
32055,T-cells
32060,T-cells
32068,T-cells
32074,T-cells
32087,Monocytes
32098,T-cells
32101,T-cells
32104,Monocytes
32105,T-cells
32111,T-cells
32115,T-cells
32131,T-cells
32136,T-cells
32139,T-cells
32146,T-cells
32153,T-cells
32159,T-cells
32165,Monocytes
32188,B-cells
32190,T-cells
32197,T-cells
32214,T-cells
32217,B-cells
32221,T-cells
32237,T-cells
32245,T-cells
32264,T-cells
32267,T-cells
32273,T-cells
32291,B-cells
32297,T-cells
32298,T-cells
32316,T-cells
32318,T-cells
32323,Monocytes
32324,B-cells
32326,T-cells
32330,Other_cells
32336,B-cells
32362,T-cells
32367,Other_cells
32375,Other_cells
32379,T-cells
32382,T-cells
32384,T-cells
32386,Monocytes
32410,Monocytes
32419,Other_cells
32431,Monocytes
32434,Other_cells
32436,T-cells
32448,B-cells
32480,T-cells
32487,T-cells
32492,T-cells
32510,T-cells
32512,Other_cells
32524,T-cells
32528,T-cells
32534,T-cells
32542,B-cells
32543,T-cells
32563,Monocytes
32569,T-cells
32574,T-cells
32575,T-cells
32577,T-cells
32581,T-cells
32594,T-cells
32616,T-cells
32623,B-cells
32632,B-cells
32634,T-cells
32638,T-cells
32648,T-cells
32655,T-cells
32656,T-cells
32673,Monocytes
32676,T-cells
32677,T-cells
32682,T-cells
32683,T-cells
32684,T-cells
32689,T-cells
32697,Monocytes
32699,B-cells
32711,T-cells
32728,B-cells
32729,T-cells
32730,Monocytes
32736,T-cells
32741,T-cells
32749,T-cells
32761,T-cells
32762,T-cells
32768,T-cells
32771,Monocytes
32780,Monocytes
32784,T-cells
32789,T-cells
32796,Monocytes
32797,T-cells
32798,T-cells
32805,B-cells
32807,T-cells
32808,T-cells
32826,T-cells
32830,B-cells
32837,B-cells
32839,T-cells
32842,T-cells
32864,Monocytes
32865,T-cells
32880,T-cells
32881,Monocytes
32882,B-cells
32885,T-cells
32889,T-cells
32895,B-cells
32921,B-cells
32924,T-cells
32929,T-cells
32934,T-cells
32939,T-cells
32960,T-cells
32962,T-cells
32966,T-cells
32983,Monocytes
32986,B-cells
32988,Monocytes
32992,T-cells
33003,Monocytes
33005,T-cells
33009,Monocytes
33012,Monocytes
33039,Other_cells
33043,T-cells
33044,Other_cells
33045,Monocytes
33052,T-cells
33064,T-cells
33068,T-cells
33069,Other_cells
33073,T-cells
33100,T-cells
33102,Monocytes
33111,T-cells
33119,Other_cells
33125,Other_cells
33130,T-cells
33132,T-cells
33134,Monocytes
33136,B-cells
33137,T-cells
33142,B-cells
33159,T-cells
33169,T-cells
33173,B-cells
33180,T-cells
33183,T-cells
33184,T-cells
33185,T-cells
33186,T-cells
33195,T-cells
33201,T-cells
33206,T-cells
33228,T-cells
33241,T-cells
33264,B-cells
33266,T-cells
33275,T-cells
33295,B-cells
33309,B-cells
33314,T-cells
33322,T-cells
33330,Monocytes
33339,T-cells
33340,Other_cells
33343,T-cells
33347,T-cells
33350,Monocytes
33353,T-cells
33361,T-cells
33366,T-cells
33371,T-cells
33374,T-cells
33375,Other_cells
33382,B-cells
33384,T-cells
33389,T-cells
33395,T-cells
33397,T-cells
33402,B-cells
33406,Monocytes
33409,Other_cells
33423,Other_cells
33437,T-cells
33440,B-cells
33442,T-cells
33447,T-cells
33454,T-cells
33455,T-cells
33464,T-cells
33465,Other_cells
33468,Other_cells
33471,B-cells
33484,T-cells
33486,T-cells
33488,B-cells
33491,B-cells
33494,T-cells
33495,T-cells
33504,T-cells
33515,Monocytes
33527,Monocytes
33528,T-cells
33544,T-cells
33550,B-cells
33555,T-cells
33569,Monocytes
33577,T-cells
33591,T-cells
33621,T-cells
33656,B-cells
33657,T-cells
33659,T-cells
33663,Other_cells
33668,T-cells
33685,T-cells
33686,T-cells
33687,T-cells
33700,B-cells
33706,T-cells
33710,T-cells
33711,T-cells
33715,T-cells
33716,Monocytes
33719,T-cells
33721,B-cells
33724,T-cells
33735,T-cells
33747,B-cells
33748,T-cells
33752,B-cells
33753,B-cells
33771,B-cells
33777,T-cells
33778,B-cells
33781,B-cells
33787,T-cells
33789,T-cells
33790,T-cells
33795,Monocytes
33800,B-cells
33806,T-cells
33811,Monocytes
33812,T-cells
33819,Monocytes
33832,T-cells
33840,T-cells
33841,T-cells
33845,B-cells
33854,T-cells
33863,T-cells
33868,T-cells
33880,T-cells
33887,T-cells
33888,T-cells
33891,Other_cells
33894,T-cells
33897,T-cells
33922,B-cells
33951,Other_cells
33952,Other_cells
33959,T-cells
33973,T-cells
33975,T-cells
33986,T-cells
33996,B-cells
34004,T-cells
34014,T-cells
34030,T-cells
34035,T-cells
34041,T-cells
34052,B-cells
34059,T-cells
34067,T-cells
34069,T-cells
34111,T-cells
34118,T-cells
34124,T-cells
34136,T-cells
34146,T-cells
34160,B-cells
34165,T-cells
34172,Monocytes
34193,T-cells
34203,T-cells
34218,T-cells
34219,B-cells
34221,T-cells
34229,T-cells
34238,T-cells
34239,Other_cells
34240,T-cells
34253,T-cells
34254,T-cells
34289,T-cells
34297,Other_cells
34304,Monocytes
34315,T-cells
34330,T-cells
34345,T-cells
34358,Monocytes
34366,T-cells
34369,Monocytes
34381,Monocytes
34383,B-cells
34398,B-cells
34400,B-cells
34403,T-cells
34404,B-cells
34411,B-cells
34414,T-cells
34423,T-cells
34426,T-cells
34433,B-cells
34451,T-cells
34455,T-cells
34472,B-cells
34491,T-cells
34510,T-cells
34517,B-cells
34525,T-cells
34532,T-cells
34550,Monocytes
34553,B-cells
34567,Monocytes
34572,T-cells
34585,B-cells
34589,Other_cells
34590,T-cells
34596,T-cells
34598,Monocytes
34603,B-cells
34604,B-cells
34606,Monocytes
34615,T-cells
34627,T-cells
34642,T-cells
34663,T-cells
34683,T-cells
34692,T-cells
34707,T-cells
34722,T-cells
34723,T-cells
34730,T-cells
34732,Monocytes
34738,T-cells
34739,Monocytes
34741,T-cells
34742,T-cells
34743,T-cells
34759,T-cells
34763,T-cells
34764,B-cells
34778,Monocytes
34825,B-cells
34827,T-cells
34829,T-cells
34838,T-cells
34851,B-cells
34856,T-cells
34862,Other_cells
34866,T-cells
34869,T-cells
34875,T-cells
34878,T-cells
34879,B-cells
34909,T-cells
34917,Other_cells
34928,T-cells
34937,T-cells
34938,Monocytes
34943,T-cells
34947,T-cells
34948,T-cells
34954,T-cells
34960,T-cells
34975,B-cells
34979,T-cells
34986,T-cells
34993,T-cells
35009,T-cells
35016,T-cells
35024,T-cells
35074,T-cells
35087,T-cells
35089,T-cells
35090,B-cells
35105,T-cells
35108,B-cells
35123,B-cells
35124,T-cells
35128,T-cells
35136,Monocytes
35137,T-cells
35138,B-cells
35142,T-cells
35143,B-cells
35163,B-cells
35172,T-cells
35182,T-cells
35193,B-cells
35204,B-cells
35205,T-cells
35224,T-cells
35225,T-cells
35233,T-cells
35234,T-cells
35235,T-cells
35237,Other_cells
35251,T-cells
35253,T-cells
35261,Other_cells
35263,T-cells
35275,T-cells
35276,T-cells
35279,T-cells
35282,Monocytes
35294,T-cells
35299,T-cells
35310,T-cells
35312,T-cells
35315,T-cells
35319,T-cells
35328,T-cells
35345,T-cells
35351,T-cells
35362,B-cells
35367,Monocytes
35373,T-cells
35377,T-cells
35378,T-cells
35381,T-cells
35435,T-cells
35438,T-cells
35446,T-cells
35450,T-cells
35452,T-cells
35466,Monocytes
35482,T-cells
35484,B-cells
35490,Other_cells
35494,T-cells
35498,T-cells
35501,T-cells
35507,T-cells
35509,T-cells
35513,Other_cells
35518,Monocytes
35535,T-cells
35565,T-cells
35566,Monocytes
35575,B-cells
35580,T-cells
35581,T-cells
35585,T-cells
35593,T-cells
35620,T-cells
35622,T-cells
35625,B-cells
35630,T-cells
35635,T-cells
35636,B-cells
35641,T-cells
35651,T-cells
35652,T-cells
35656,Monocytes
35660,B-cells
35663,T-cells
35665,T-cells
35669,Monocytes
35671,Other_cells
35676,Monocytes
35683,T-cells
35687,T-cells
35689,T-cells
35711,B-cells
35712,T-cells
35719,B-cells
35720,T-cells
35734,Other_cells
35745,T-cells
35750,T-cells
35756,T-cells
35766,T-cells
35767,T-cells
35776,T-cells
35782,B-cells
35786,T-cells
35792,T-cells
35800,B-cells
35808,Other_cells
35818,T-cells
35820,Other_cells
35839,T-cells
35840,T-cells
35850,B-cells
35861,T-cells
35862,T-cells
35870,Monocytes
35871,T-cells
35880,Monocytes
35900,T-cells
35901,T-cells
35910,T-cells
35915,B-cells
35927,T-cells
35934,T-cells
35943,Other_cells
35946,B-cells
35948,B-cells
35979,T-cells
35980,T-cells
35993,T-cells
35994,T-cells
35997,B-cells
36003,T-cells
36008,B-cells
36010,B-cells
36020,T-cells
36033,T-cells
36035,T-cells
36039,Other_cells
36047,T-cells
36051,B-cells
36060,T-cells
36062,T-cells
36064,B-cells
36070,B-cells
36073,B-cells
36085,Monocytes
36086,T-cells
36088,T-cells
36097,T-cells
36099,B-cells
36103,T-cells
36109,T-cells
36124,Other_cells
36128,T-cells
36129,T-cells
36133,T-cells
36138,T-cells
36148,T-cells
36149,T-cells
36153,Monocytes
36155,B-cells
36158,T-cells
36159,Monocytes
36162,Monocytes
36167,T-cells
36168,B-cells
36174,Other_cells
36175,Monocytes
36185,B-cells
36187,B-cells
36188,T-cells
36189,B-cells
36201,T-cells
36225,T-cells
36227,T-cells
36231,Monocytes
36236,T-cells
36260,B-cells
36265,Other_cells
36267,Other_cells
36272,T-cells
36280,B-cells
36289,T-cells
36306,T-cells
36321,T-cells
36324,T-cells
36331,T-cells
36348,T-cells
36351,Monocytes
36353,B-cells
36356,T-cells
36358,T-cells
36369,T-cells
36376,T-cells
36386,T-cells
36406,T-cells
36413,B-cells
36424,T-cells
36431,Other_cells
36432,T-cells
36450,T-cells
36458,T-cells
36467,T-cells
36484,Other_cells
36485,T-cells
36494,T-cells
36502,T-cells
36503,T-cells
36514,Monocytes
36556,Other_cells
36560,B-cells
36578,B-cells
36592,T-cells
36621,T-cells
36645,T-cells
36648,B-cells
36655,T-cells
36659,T-cells
36660,B-cells
36662,Monocytes
36664,T-cells
36668,Other_cells
36681,T-cells
36688,T-cells
36698,B-cells
36704,B-cells
36720,Monocytes
36723,T-cells
36728,Monocytes
36730,T-cells
36739,T-cells
36744,T-cells
36746,Other_cells
36747,T-cells
36757,T-cells
36764,B-cells
36765,B-cells
36779,B-cells
36785,B-cells
36799,T-cells
36810,Monocytes
36829,B-cells
36830,T-cells
36834,T-cells
36840,T-cells
36857,B-cells
36867,B-cells
36870,T-cells
36874,Monocytes
36875,T-cells
36879,T-cells
36883,T-cells
36885,T-cells
36888,Monocytes
36893,B-cells
36900,B-cells
36910,Other_cells
36911,T-cells
36916,T-cells
36919,T-cells
36931,Monocytes
36937,T-cells
36950,T-cells
36957,T-cells
36969,T-cells
36975,T-cells
36976,T-cells
37008,T-cells
37015,T-cells
37027,T-cells
37034,T-cells
37040,T-cells
37053,Monocytes
37061,T-cells
37062,T-cells
37064,T-cells
37065,T-cells
37066,T-cells
37072,T-cells
37087,T-cells
37093,T-cells
37095,T-cells
37099,B-cells
37100,B-cells
37106,Monocytes
37110,T-cells
37115,B-cells
37125,T-cells
37126,T-cells
37132,Monocytes
37153,T-cells
37154,T-cells
37164,Monocytes
37168,T-cells
37188,B-cells
37189,B-cells
37191,T-cells
37194,T-cells
37201,T-cells
37203,T-cells
37214,T-cells
37215,B-cells
37217,T-cells
37220,Other_cells
37240,Monocytes
37253,T-cells
37261,B-cells
37262,Monocytes
37271,T-cells
37272,T-cells
37273,T-cells
37274,T-cells
37277,B-cells
37291,B-cells
37305,T-cells
37309,Monocytes
37317,B-cells
37319,B-cells
37321,T-cells
37336,T-cells
37357,T-cells
37359,T-cells
37360,T-cells
37364,T-cells
37365,T-cells
37375,Other_cells
37384,T-cells
37392,Other_cells
37397,B-cells
37401,Monocytes
37402,T-cells
37412,T-cells
37413,T-cells
37414,B-cells
37418,T-cells
37432,T-cells
37449,Monocytes
37453,Monocytes
37464,T-cells
37467,Monocytes
37470,T-cells
37475,T-cells
37482,T-cells
37490,T-cells
37493,T-cells
37500,B-cells
37508,B-cells
37512,T-cells
37526,Monocytes
37528,T-cells
37536,T-cells
37538,T-cells
37556,Other_cells
37561,T-cells
37570,T-cells
37573,B-cells
37577,T-cells
37578,T-cells
37580,T-cells
37590,T-cells
37607,B-cells
37613,Monocytes
37673,T-cells
37674,B-cells
37695,B-cells
37714,T-cells
37724,Monocytes
37729,B-cells
37744,T-cells
37747,T-cells
37749,T-cells
37750,Monocytes
37752,T-cells
37763,T-cells
37783,T-cells
37787,Monocytes
37804,Monocytes
37813,Monocytes
37818,T-cells
37830,T-cells
37838,T-cells
37839,B-cells
37859,T-cells
37867,T-cells
37868,Other_cells
37874,T-cells
37879,B-cells
37882,T-cells
37887,T-cells
37904,T-cells
37908,B-cells
37918,T-cells
37925,T-cells
37936,T-cells
37946,B-cells
37947,Other_cells
37955,B-cells
37956,B-cells
37959,T-cells
37961,T-cells
37964,T-cells
37966,T-cells
37972,T-cells
37973,T-cells
37974,T-cells
37975,T-cells
37981,T-cells
37988,Other_cells
37990,T-cells
37999,T-cells
38001,Other_cells
38004,T-cells
38005,T-cells
38010,Monocytes
38013,T-cells
38047,B-cells
38061,T-cells
38070,T-cells
38072,T-cells
38080,B-cells
38094,Other_cells
38112,T-cells
38115,B-cells
38116,T-cells
38117,B-cells
38126,T-cells
38137,Other_cells
38157,T-cells
38158,T-cells
38172,T-cells
38189,T-cells
38190,Monocytes
38196,B-cells
38204,Monocytes
38209,T-cells
38211,T-cells
38215,T-cells
38218,Other_cells
38256,B-cells
38261,B-cells
38262,B-cells
38282,T-cells
38283,B-cells
38289,T-cells
38296,T-cells
38308,T-cells
38320,T-cells
38333,T-cells
38377,Other_cells
38380,T-cells
38394,T-cells
38400,T-cells
38404,T-cells
38405,T-cells
38411,T-cells
38415,Other_cells
38419,T-cells
38420,B-cells
38424,T-cells
38427,T-cells
38428,T-cells
38431,Other_cells
38433,T-cells
38436,B-cells
38454,B-cells
38462,Monocytes
38463,T-cells
38465,T-cells
38467,T-cells
38474,B-cells
38475,Other_cells
38478,B-cells
38486,Other_cells
38499,Monocytes
38502,T-cells
38506,B-cells
38507,B-cells
38511,Other_cells
38521,B-cells
38522,T-cells
38535,T-cells
38538,Other_cells
38541,T-cells
38560,T-cells
38571,T-cells
38587,T-cells
38596,T-cells
38602,T-cells
38608,T-cells
38614,B-cells
38636,T-cells
38647,Monocytes
38657,T-cells
38682,T-cells
38685,T-cells
38687,T-cells
38694,B-cells
38712,T-cells
38737,T-cells
38741,T-cells
38757,T-cells
38768,T-cells
38769,T-cells
38771,T-cells
38777,T-cells
38793,Other_cells
38811,B-cells
38814,T-cells
38820,T-cells
38823,T-cells
38825,T-cells
38828,T-cells
38830,T-cells
38834,T-cells
38835,T-cells
38837,B-cells
38856,T-cells
38877,T-cells
38879,T-cells
38888,B-cells
38893,T-cells
38903,B-cells
38904,T-cells
38908,T-cells
38910,T-cells
38915,B-cells
38923,Other_cells
38937,Monocytes
38954,T-cells
38977,T-cells
38981,T-cells
38990,T-cells
39005,T-cells
39008,Other_cells
39020,T-cells
39022,T-cells
39024,T-cells
39025,B-cells
39028,B-cells
39056,Monocytes
39059,B-cells
39060,T-cells
39067,T-cells
39072,B-cells
39075,T-cells
39082,B-cells
39087,T-cells
39090,T-cells
39095,T-cells
39099,T-cells
39103,T-cells
39104,T-cells
39108,B-cells
39114,B-cells
39123,T-cells
39135,T-cells
39139,T-cells
39144,T-cells
39153,T-cells
39159,T-cells
39175,Other_cells
39178,Monocytes
39185,T-cells
39188,Monocytes
39198,B-cells
39199,T-cells
39203,T-cells
39212,B-cells
39214,B-cells
39219,Monocytes
39220,T-cells
39229,T-cells
39247,B-cells
39248,T-cells
39255,T-cells
39258,B-cells
39266,T-cells
39285,Other_cells
39286,T-cells
39298,Monocytes
39307,T-cells
39309,T-cells
39332,T-cells
39333,B-cells
39341,B-cells
39346,T-cells
39349,T-cells
39375,T-cells
39395,B-cells
39402,T-cells
39406,B-cells
39443,T-cells
39448,T-cells
39459,Monocytes
39469,T-cells
39470,T-cells
39474,T-cells
39490,Monocytes
39508,B-cells
39512,T-cells
39515,T-cells
39523,T-cells
39536,T-cells
39551,T-cells
39570,B-cells
39572,Monocytes
39575,T-cells
39578,B-cells
39584,T-cells
39593,T-cells
39595,T-cells
39596,T-cells
39601,B-cells
39606,B-cells
39612,T-cells
39616,B-cells
39623,T-cells
39630,B-cells
39638,Monocytes
39646,Other_cells
39647,B-cells
39650,T-cells
39662,T-cells
39665,B-cells
39671,B-cells
39681,T-cells
39699,T-cells
39706,T-cells
39710,T-cells
39713,B-cells
39714,Monocytes
39718,B-cells
39737,T-cells
39747,B-cells
39751,Monocytes
39764,T-cells
39771,Monocytes
39778,B-cells
39783,B-cells
39794,T-cells
39796,T-cells
39797,Other_cells
39804,T-cells
39818,T-cells
39821,T-cells
39842,Monocytes
39846,B-cells
39851,T-cells
39856,T-cells
39863,T-cells
39883,T-cells
39893,T-cells
39914,T-cells
39915,B-cells
39916,Other_cells
39921,T-cells
39923,B-cells
39937,T-cells
39944,T-cells
39948,T-cells
39950,T-cells
39958,B-cells
39967,Other_cells
39974,Other_cells
39975,Monocytes
39977,T-cells
39981,Other_cells
39989,T-cells
39995,T-cells
40004,Monocytes
40007,T-cells
40009,Other_cells
40012,T-cells
40014,T-cells
40018,T-cells
40024,T-cells
40034,B-cells
40038,Other_cells
40049,B-cells
40051,B-cells
40058,T-cells
40076,T-cells
40083,B-cells
40118,T-cells
40124,T-cells
40125,B-cells
40134,T-cells
40139,B-cells
40152,T-cells
40157,T-cells
40164,T-cells
40166,B-cells
40169,T-cells
40172,T-cells
40185,B-cells
40193,T-cells
40200,T-cells
40201,T-cells
40213,T-cells
40218,T-cells
40219,T-cells
40230,B-cells
40231,T-cells
40232,B-cells
40249,T-cells
40250,B-cells
40257,T-cells
40259,B-cells
40271,T-cells
40273,T-cells
40285,T-cells
40291,B-cells
40293,T-cells
40301,T-cells
40310,B-cells
40312,Monocytes
40314,B-cells
40315,T-cells
40317,T-cells
40319,B-cells
40320,B-cells
40326,T-cells
40327,Other_cells
40344,T-cells
40345,T-cells
40347,T-cells
40388,T-cells
40393,B-cells
40400,B-cells
40403,T-cells
40404,T-cells
40416,Monocytes
40427,T-cells
40430,Other_cells
40431,B-cells
40458,T-cells
40484,T-cells
40491,T-cells
40496,T-cells
40498,Monocytes
40500,T-cells
40502,B-cells
40507,B-cells
40510,T-cells
40525,B-cells
40526,T-cells
40527,T-cells
40543,T-cells
40545,Other_cells
40546,T-cells
40547,T-cells
40548,T-cells
40558,B-cells
40564,T-cells
40567,T-cells
40581,B-cells
40582,T-cells
40610,T-cells
40643,T-cells
40659,B-cells
40663,Other_cells
40667,Monocytes
40668,B-cells
40677,T-cells
40678,T-cells
40686,T-cells
40752,T-cells
40754,Monocytes
40756,T-cells
40761,Other_cells
40769,T-cells
40770,B-cells
40772,T-cells
40773,Monocytes
40782,B-cells
40798,T-cells
40818,Other_cells
40833,T-cells
40836,T-cells
40853,T-cells
40879,T-cells
40883,T-cells
40888,T-cells
40889,B-cells
40892,Other_cells
40893,T-cells
40898,Monocytes
40917,B-cells
40918,T-cells
40920,T-cells
40925,Monocytes
40932,T-cells
40934,T-cells
40944,Monocytes
40963,T-cells
40964,T-cells
40971,T-cells
40984,Monocytes
40987,B-cells
40989,Other_cells
41000,T-cells
41005,B-cells
41011,Monocytes
41012,Monocytes
41013,B-cells
41015,Monocytes
41019,Monocytes
41020,Other_cells
41022,Monocytes
41041,B-cells
41054,B-cells
41057,B-cells
41065,Other_cells
41074,T-cells
41076,T-cells
41083,T-cells
41089,T-cells
41124,T-cells
41130,Monocytes
41135,T-cells
41143,B-cells
41145,T-cells
41161,B-cells
41167,T-cells
41171,T-cells
41178,B-cells
41179,B-cells
41180,T-cells
41184,T-cells
41191,T-cells
41196,T-cells
41197,T-cells
41199,T-cells
41202,T-cells
41209,B-cells
41211,T-cells
41214,T-cells
41221,T-cells
41238,B-cells
41244,Monocytes
41252,B-cells
41257,B-cells
41259,B-cells
41292,Monocytes
41304,Monocytes
41307,Monocytes
41322,T-cells
41323,T-cells
41353,T-cells
41362,T-cells
41363,T-cells
41364,T-cells
41382,B-cells
41384,T-cells
41399,T-cells
41408,B-cells
41445,Monocytes
41458,B-cells
41473,T-cells
41477,T-cells
41484,T-cells
41491,T-cells
41510,Other_cells
41516,T-cells
41518,B-cells
41524,T-cells
41526,Monocytes
41536,T-cells
41568,Other_cells
41571,B-cells
41582,Monocytes
41586,T-cells
41605,T-cells
41618,B-cells
41625,T-cells
41627,Other_cells
41633,T-cells
41635,Other_cells
41655,T-cells
41656,T-cells
41663,B-cells
41681,T-cells
41685,T-cells
41695,B-cells
41705,T-cells
41706,T-cells
41709,Other_cells
41713,Other_cells
41714,B-cells
41716,T-cells
41720,T-cells
41733,T-cells
41743,T-cells
41752,B-cells
41754,T-cells
41778,Monocytes
41784,T-cells
41805,B-cells
41807,T-cells
41816,T-cells
41822,B-cells
41825,B-cells
41849,Other_cells
41856,Monocytes
41868,Other_cells
41877,Other_cells
41878,B-cells
41884,T-cells
41894,T-cells
41895,T-cells
41896,Other_cells
41911,T-cells
41915,B-cells
41920,Other_cells
41923,T-cells
41932,T-cells
41941,B-cells
41958,T-cells
41962,T-cells
41967,Monocytes
41968,T-cells
41996,B-cells
42014,B-cells
42023,T-cells
42027,T-cells
42030,Monocytes
42043,B-cells
42047,B-cells
42049,T-cells
42057,B-cells
42079,T-cells
42082,T-cells
42090,T-cells
42093,T-cells
42094,B-cells
42097,T-cells
42098,B-cells
42102,T-cells
42103,T-cells
42105,T-cells
42109,T-cells
42116,T-cells
42118,B-cells
42121,T-cells
42124,T-cells
42128,T-cells
42129,T-cells
42130,Monocytes
42131,T-cells
42135,T-cells
42137,T-cells
42141,T-cells
42151,T-cells
42152,Monocytes
42155,T-cells
42159,T-cells
42161,T-cells
42162,T-cells
42163,T-cells
42168,B-cells
42172,B-cells
42175,B-cells
42180,T-cells
42185,T-cells
42193,Monocytes
42194,T-cells
42204,T-cells
42206,T-cells
42211,T-cells
42223,B-cells
42233,T-cells
42234,T-cells
42238,T-cells
42242,B-cells
42246,Other_cells
42253,T-cells
42254,B-cells
42260,T-cells
42277,B-cells
42278,T-cells
42288,B-cells
42290,T-cells
42302,T-cells
42303,T-cells
42314,T-cells
42315,T-cells
42319,B-cells
42320,T-cells
42324,T-cells
42327,T-cells
42330,T-cells
42348,Monocytes
42350,B-cells
42351,T-cells
42353,T-cells
42358,Monocytes
42366,T-cells
42383,Other_cells
42385,T-cells
42401,T-cells
42425,T-cells
42443,T-cells
42450,T-cells
42451,B-cells
42458,Monocytes
42469,B-cells
42493,T-cells
42497,T-cells
42499,Monocytes
42526,B-cells
42529,T-cells
42533,Other_cells
42535,T-cells
42542,T-cells
42553,Monocytes
42568,T-cells
42569,T-cells
42579,T-cells
42580,T-cells
42586,T-cells
42597,T-cells
42606,T-cells
42623,T-cells
42631,T-cells
42642,T-cells
42648,Monocytes
42653,T-cells
42660,T-cells
42667,B-cells
42681,T-cells
42707,B-cells
42724,T-cells
42725,T-cells
42727,T-cells
42737,T-cells
42741,T-cells
42753,T-cells
42765,T-cells
42775,T-cells
42783,B-cells
42787,T-cells
42795,T-cells
42797,T-cells
42802,T-cells
42817,B-cells
42821,Other_cells
42832,T-cells
42834,B-cells
42839,Other_cells
42841,T-cells
42842,Other_cells
42852,T-cells
42855,T-cells
42858,T-cells
42860,B-cells
42883,Other_cells
42900,T-cells
42901,Monocytes
42904,T-cells
42905,T-cells
42909,T-cells
42914,T-cells
42916,B-cells
42923,T-cells
42924,Monocytes
42933,B-cells
42938,Monocytes
42939,Other_cells
42941,T-cells
42952,B-cells
42954,B-cells
42958,Other_cells
42959,T-cells
43000,T-cells
43005,B-cells
43006,Other_cells
43012,B-cells
43019,T-cells
43023,T-cells
43030,T-cells
43038,B-cells
43047,T-cells
43050,Monocytes
43053,T-cells
43065,B-cells
43092,T-cells
43093,T-cells
43115,T-cells
43126,T-cells
43130,Other_cells
43144,T-cells
43151,T-cells
43154,T-cells
43172,Monocytes
43175,T-cells
43180,T-cells
43181,T-cells
43194,T-cells
43198,T-cells
43204,B-cells
43227,T-cells
43236,T-cells
43242,T-cells
43244,T-cells
43265,T-cells
43266,B-cells
43269,T-cells
43270,T-cells
43273,B-cells
43282,T-cells
43287,T-cells
43292,Monocytes
43293,Monocytes
43295,T-cells
43304,B-cells
43312,T-cells
43324,T-cells
43327,B-cells
43337,T-cells
43342,T-cells
43344,T-cells
43345,T-cells
43351,T-cells
43357,Monocytes
43363,B-cells
43365,B-cells
43369,B-cells
43370,B-cells
43378,T-cells
43389,T-cells
43394,T-cells
43400,T-cells
43408,T-cells
43413,Other_cells
43414,T-cells
43417,B-cells
43430,Other_cells
43436,T-cells
43443,T-cells
43445,Monocytes
43447,T-cells
43458,T-cells
43459,T-cells
43465,Monocytes
43469,T-cells
43488,B-cells
43510,T-cells
43514,T-cells
43516,T-cells
43538,T-cells
43554,Other_cells
43557,T-cells
43565,T-cells
43566,T-cells
43573,T-cells
43575,T-cells
43587,Other_cells
43604,Monocytes
43612,T-cells
43637,Monocytes
43639,T-cells
43658,Other_cells
43672,B-cells
43680,T-cells
43711,T-cells
43716,T-cells
43717,Monocytes
43720,T-cells
43721,Other_cells
43727,T-cells
43731,T-cells
43735,B-cells
43736,T-cells
43746,T-cells
43747,T-cells
43766,Monocytes
43770,T-cells
43785,T-cells
43809,T-cells
43819,T-cells
43820,Monocytes
43823,T-cells
43831,B-cells
43838,B-cells
43842,T-cells
43843,T-cells
43863,T-cells
43867,T-cells
43870,T-cells
43877,T-cells
43882,T-cells
43884,T-cells
43886,T-cells
43897,T-cells
43916,Other_cells
43918,T-cells
43925,T-cells
43926,Monocytes
43937,T-cells
43938,Monocytes
43940,Other_cells
43944,T-cells
43962,T-cells
43978,B-cells
43992,T-cells
43995,Other_cells
43996,B-cells
44008,T-cells
44016,B-cells
44017,B-cells
44045,T-cells
44046,T-cells
44050,Other_cells
44066,T-cells
44071,T-cells
44121,T-cells
44138,Monocytes
44140,T-cells
44149,T-cells
44163,Monocytes
44167,T-cells
44181,B-cells
44186,T-cells
44195,T-cells
44212,T-cells
44233,T-cells
44237,B-cells
44246,T-cells
44258,T-cells
44280,T-cells
44281,T-cells
44297,T-cells
44315,Monocytes
44316,Other_cells
44334,T-cells
44337,Monocytes
44365,T-cells
44368,T-cells
44380,Other_cells
44381,B-cells
44382,T-cells
44386,B-cells
44396,B-cells
44400,T-cells
44404,T-cells
44409,B-cells
44416,Monocytes
44419,T-cells
44422,T-cells
44433,T-cells
44440,Other_cells
44442,T-cells
44468,B-cells
44486,T-cells
44491,B-cells
44494,T-cells
44499,Other_cells
44508,T-cells
44514,B-cells
44534,B-cells
44535,T-cells
44537,T-cells
44543,T-cells
44549,T-cells
44567,T-cells
44568,T-cells
44572,B-cells
44573,T-cells
44574,T-cells
44578,T-cells
44580,T-cells
44583,Other_cells
44590,T-cells
44593,T-cells
44603,T-cells
44614,Monocytes
44623,T-cells
44624,T-cells
44625,B-cells
44627,T-cells
44635,Other_cells
44639,T-cells
44647,Monocytes
44649,T-cells
44653,T-cells
44665,Monocytes
44675,B-cells
44681,B-cells
44683,T-cells
44686,T-cells
44697,Other_cells
44709,T-cells
44712,T-cells
44729,T-cells
44752,T-cells
44756,T-cells
44764,T-cells
44775,T-cells
44786,T-cells
44806,B-cells
44815,T-cells
44819,B-cells
44820,Other_cells
44835,T-cells
44841,T-cells
44844,T-cells
44853,T-cells
44859,T-cells
44863,Monocytes
44881,T-cells
44886,T-cells
44900,T-cells
